support,itemsets
0.635129895308259,"frozenset({'ctx_fim_de_semana_Não', 'desfecho_Ferido'})"
0.46956184567661885,"frozenset({'ctx_fim_de_semana_Não', 'ctx_uso_solo_Não'})"
0.4280728964715006,"frozenset({'ctx_fim_de_semana_Não', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.5556417215975185,"frozenset({'ctx_fase_dia_Pleno_dia', 'desfecho_Ferido'})"
0.4176037223730128,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_uso_solo_Não'})"
0.41062427297402093,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_fim_de_semana_Não'})"
0.38774718883288095,"frozenset({'ctx_fase_dia_Pleno_dia', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.3850329585110508,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_fim_de_semana_Não', 'desfecho_Ferido'})"
0.27762698720434276,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_fim_de_semana_Não', 'ctx_uso_solo_Não'})"
0.2578518805738658,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_fim_de_semana_Não', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.46490887941062425,"frozenset({'desfecho_Ferido', 'ctx_condicao_metereologica_Céu_Claro'})"
0.3443195036835983,"frozenset({'ctx_fim_de_semana_Não', 'ctx_condicao_metereologica_Céu_Claro'})"
0.32725862737495154,"frozenset({'ctx_condicao_metereologica_Céu_Claro', 'ctx_uso_solo_Não'})"
0.3016673129119814,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_condicao_metereologica_Céu_Claro'})"
0.31678945327646374,"frozenset({'desfecho_Ferido', 'ctx_fim_de_semana_Não', 'ctx_condicao_metereologica_Céu_Claro'})"
0.2919736331911594,"frozenset({'desfecho_Ferido', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_uso_solo_Não'})"
0.2140364482357503,"frozenset({'ctx_fim_de_semana_Não', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_uso_solo_Não'})"
0.19232260566110895,"frozenset({'desfecho_Ferido', 'ctx_fim_de_semana_Não', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_uso_solo_Não'})"
0.2811167119038387,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido'})"
0.2058937572702598,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_fim_de_semana_Não', 'ctx_condicao_metereologica_Céu_Claro'})"
0.1915471112834432,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_uso_solo_Não'})"
0.1934858472276076,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_fim_de_semana_Não', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido'})"
0.17487398216362932,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.12446684761535479,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_fim_de_semana_Não', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_uso_solo_Não'})"
0.11438542070569989,"frozenset({'ctx_fim_de_semana_Não', 'ctx_fase_dia_Pleno_dia', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.446297014346646,"frozenset({'ctx_tipo_pista_Simples', 'desfecho_Ferido'})"
0.3664210934470725,"frozenset({'ctx_tipo_pista_Simples', 'ctx_uso_solo_Não'})"
0.3361768127181078,"frozenset({'ctx_tipo_pista_Simples', 'ctx_fim_de_semana_Não'})"
0.293136874757658,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples'})"
0.260566110895696,"frozenset({'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro'})"
0.3253198914307871,"frozenset({'ctx_tipo_pista_Simples', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.30283055447848,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tipo_pista_Simples', 'desfecho_Ferido'})"
0.2419542458317177,"frozenset({'ctx_tipo_pista_Simples', 'ctx_fim_de_semana_Não', 'ctx_uso_solo_Não'})"
0.21481194261341605,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tipo_pista_Simples', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.26793330748352073,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'desfecho_Ferido'})"
0.21287320666925164,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_uso_solo_Não'})"
0.20124079100426523,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_fim_de_semana_Não'})"
0.1915471112834432,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.18301667312911982,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_fim_de_semana_Não', 'ctx_tipo_pista_Simples', 'desfecho_Ferido'})"
0.1403644823575029,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_fim_de_semana_Não', 'ctx_uso_solo_Não'})"
0.12563008918185342,"frozenset({'ctx_fim_de_semana_Não', 'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.23497479643272587,"frozenset({'desfecho_Ferido', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro'})"
0.18185343156262118,"frozenset({'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_uso_solo_Não'})"
0.17371074059713068,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro'})"
0.1566498642884839,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro'})"
0.16013958898797984,"frozenset({'desfecho_Ferido', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_uso_solo_Não'})"
0.1570376114773168,"frozenset({'desfecho_Ferido', 'ctx_fim_de_semana_Não', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro'})"
0.11709965102753005,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_uso_solo_Não'})"
0.10352849941837922,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.1430787126793331,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido'})"
0.10663047692904226,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_fim_de_semana_Não', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro'})"
0.10624272974020939,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_uso_solo_Não'})"
0.097712291585886,"frozenset({'ctx_fim_de_semana_Não', 'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido'})"
0.09422256688639008,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.06940674680108569,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_fim_de_semana_Não', 'ctx_uso_solo_Não'})"
0.062039550213260956,"frozenset({'ctx_fim_de_semana_Não', 'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.3780535091120589,"frozenset({'desfecho_Ferido', 'ctx_tracado_via_Reta'})"
0.2873206669251648,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tracado_via_Reta'})"
0.26599457153935635,"frozenset({'ctx_tracado_via_Reta', 'ctx_uso_solo_Não'})"
0.23924001550988755,"frozenset({'ctx_condicao_metereologica_Céu_Claro', 'ctx_tracado_via_Reta'})"
0.23342380767739435,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tracado_via_Reta'})"
0.20822024040325707,"frozenset({'ctx_tipo_pista_Simples', 'ctx_tracado_via_Reta'})"
0.1810779371849554,"frozenset({'ctx_tipo_pista_Dupla', 'ctx_tracado_via_Reta'})"
0.26638231872818924,"frozenset({'ctx_fim_de_semana_Não', 'desfecho_Ferido', 'ctx_tracado_via_Reta'})"
0.24117875145405196,"frozenset({'ctx_tracado_via_Reta', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.18417991469561845,"frozenset({'ctx_tracado_via_Reta', 'ctx_fim_de_semana_Não', 'ctx_uso_solo_Não'})"
0.16983326870880186,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tracado_via_Reta', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.21752617293524623,"frozenset({'desfecho_Ferido', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_tracado_via_Reta'})"
0.16595579682047304,"frozenset({'ctx_fim_de_semana_Não', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_tracado_via_Reta'})"
0.14424195424583172,"frozenset({'ctx_tracado_via_Reta', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_uso_solo_Não'})"
0.15238464521132222,"frozenset({'desfecho_Ferido', 'ctx_fim_de_semana_Não', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_tracado_via_Reta'})"
0.12950756107018224,"frozenset({'desfecho_Ferido', 'ctx_tracado_via_Reta', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_uso_solo_Não'})"
0.09732454439705313,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tracado_via_Reta', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_uso_solo_Não'})"
0.08879410624272974,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tracado_via_Reta', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.21907716169057775,"frozenset({'ctx_fase_dia_Pleno_dia', 'desfecho_Ferido', 'ctx_tracado_via_Reta'})"
0.16828227995347034,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_fim_de_semana_Não', 'ctx_tracado_via_Reta'})"
0.1508336564559907,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tracado_via_Reta', 'ctx_uso_solo_Não'})"
0.14191547111283442,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_tracado_via_Reta'})"
0.15975184179914695,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_fim_de_semana_Não', 'desfecho_Ferido', 'ctx_tracado_via_Reta'})"
0.13881349360217138,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tracado_via_Reta', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.10624272974020939,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tracado_via_Reta', 'ctx_fim_de_semana_Não', 'ctx_uso_solo_Não'})"
