antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,antecedents_str,consequents_str,n_antecedentes,explicacao_natural
"frozenset({'ctx_tipo_pista_Simples', 'ctx_tracado_via_Reta', 'ctx_uso_solo_Não'})",frozenset({'desfecho_AltaGravidade'}),0.15452302631578949,0.33536184210526315,0.06517269736842106,0.4217668972857903,1.257647246443161,0.013351570615477842,"ctx_tipo_pista_Simples, ctx_tracado_via_Reta, ctx_uso_solo_Não",desfecho_AltaGravidade,3,"Quando tipo de pista=Simples E tracado da via=Reta E entorno=rural, entao alta gravidade. [Suporte: 6.5% | Confianca: 42.2% | Lift: 1.26]"
"frozenset({'ctx_uso_solo_Não', 'ctx_tracado_via_Reta', 'ctx_fase_dia_Plena_Noite'})",frozenset({'desfecho_AltaGravidade'}),0.09169407894736842,0.33536184210526315,0.03856907894736842,0.420627802690583,1.2542506328390115,0.007818383721433519,"ctx_fase_dia_Plena_Noite, ctx_tracado_via_Reta, ctx_uso_solo_Não",desfecho_AltaGravidade,3,"Quando fase do dia=Plena Noite E tracado da via=Reta E entorno=rural, entao alta gravidade. [Suporte: 3.9% | Confianca: 42.1% | Lift: 1.25]"
"frozenset({'ctx_condicao_metereologica_Céu_Claro', 'ctx_tracado_via_Reta', 'ctx_fase_dia_Plena_Noite'})",frozenset({'desfecho_AltaGravidade'}),0.09251644736842106,0.33536184210526315,0.038774671052631576,0.41911111111111105,1.2497280802136121,0.0077481848381232635,"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Plena_Noite, ctx_tracado_via_Reta",desfecho_AltaGravidade,3,"Quando clima=Céu Claro E fase do dia=Plena Noite E tracado da via=Reta, entao alta gravidade. [Suporte: 3.9% | Confianca: 41.9% | Lift: 1.25]"
"frozenset({'ctx_fim_de_semana_Sim', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_fase_dia_Plena_Noite'})",frozenset({'desfecho_AltaGravidade'}),0.07401315789473684,0.33536184210526315,0.03100328947368421,0.4188888888888889,1.24906544602474,0.006182100502077563,"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Plena_Noite, ctx_fim_de_semana_Sim",desfecho_AltaGravidade,3,"Quando clima=Céu Claro E fase do dia=Plena Noite E fim de semana=Sim, entao alta gravidade. [Suporte: 3.1% | Confianca: 41.9% | Lift: 1.25]"
"frozenset({'ctx_tipo_pista_Simples', 'ctx_fase_dia_Anoitecer'})",frozenset({'desfecho_AltaGravidade'}),0.028536184210526314,0.33536184210526315,0.011883223684210527,0.41642651296829974,1.241723000905965,0.0023132763807132972,"ctx_fase_dia_Anoitecer, ctx_tipo_pista_Simples",desfecho_AltaGravidade,2,"Quando fase do dia=Anoitecer E tipo de pista=Simples, entao alta gravidade. [Suporte: 1.2% | Confianca: 41.6% | Lift: 1.24]"
"frozenset({'ctx_tipo_pista_Simples', 'ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos', 'ctx_uso_solo_Não'})",frozenset({'desfecho_AltaGravidade'}),0.02919407894736842,0.33536184210526315,0.012129934210526315,0.4154929577464789,1.2389392756736595,0.00233935411617036,"ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos, ctx_tipo_pista_Simples, ctx_uso_solo_Não",desfecho_AltaGravidade,3,"Quando causa=Acessar a via sem observar a presença dos outros veículos E tipo de pista=Simples E entorno=rural, entao alta gravidade. [Suporte: 1.2% | Confianca: 41.5% | Lift: 1.24]"
"frozenset({'ctx_fim_de_semana_Sim', 'ctx_fase_dia_Plena_Noite', 'ctx_uso_solo_Não'})",frozenset({'desfecho_AltaGravidade'}),0.0822779605263158,0.33536184210526315,0.03416940789473684,0.4152923538230884,1.238341104092387,0.006576519487967447,"ctx_fase_dia_Plena_Noite, ctx_fim_de_semana_Sim, ctx_uso_solo_Não",desfecho_AltaGravidade,3,"Quando fase do dia=Plena Noite E fim de semana=Sim E entorno=rural, entao alta gravidade. [Suporte: 3.4% | Confianca: 41.5% | Lift: 1.24]"
"frozenset({'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Sol', 'ctx_uso_solo_Não'})",frozenset({'desfecho_AltaGravidade'}),0.02475328947368421,0.33536184210526315,0.010279605263157895,0.4152823920265781,1.2383113994711108,0.001978296507098338,"ctx_condicao_metereologica_Sol, ctx_tipo_pista_Simples, ctx_uso_solo_Não",desfecho_AltaGravidade,3,"Quando clima=Sol E tipo de pista=Simples E entorno=rural, entao alta gravidade. [Suporte: 1.0% | Confianca: 41.5% | Lift: 1.24]"
"frozenset({'ctx_fim_de_semana_Não', 'ctx_tracado_via_Reta', 'ctx_tipo_acidente_Colisão_transversal'})",frozenset({'desfecho_AltaGravidade'}),0.028330592105263157,0.33536184210526315,0.011759868421052632,0.41509433962264153,1.2377506546864445,0.0022588688646987543,"ctx_fim_de_semana_Não, ctx_tipo_acidente_Colisão_transversal, ctx_tracado_via_Reta",desfecho_AltaGravidade,3,"Quando fim de semana=Não E tipo de acidente=Colisão transversal E tracado da via=Reta, entao alta gravidade. [Suporte: 1.2% | Confianca: 41.5% | Lift: 1.24]"
"frozenset({'ctx_uso_solo_Não', 'ctx_condicao_metereologica_Nublado', 'ctx_fase_dia_Plena_Noite'})",frozenset({'desfecho_AltaGravidade'}),0.04235197368421053,0.33536184210526315,0.017557565789473685,0.41456310679611647,1.2361665960374635,0.0033543298779432126,"ctx_condicao_metereologica_Nublado, ctx_fase_dia_Plena_Noite, ctx_uso_solo_Não",desfecho_AltaGravidade,3,"Quando clima=Nublado E fase do dia=Plena Noite E entorno=rural, entao alta gravidade. [Suporte: 1.8% | Confianca: 41.5% | Lift: 1.24]"
