regra,n_anos_presente,n_anos_total,freq_relativa,status,lift_medio,confianca_media,anos
"ctx_condicao_metereologica_Céu_Claro, ctx_fim_de_semana_Sim, ctx_tipo_pista_Dupla => desfecho_Fatal",1,4,0.25,transitoria,1.5618,0.1278,[2026]
"ctx_fase_dia_Plena_Noite, ctx_fim_de_semana_Não => desfecho_Fatal",1,4,0.25,transitoria,1.5003,0.1187,[2024]
"ctx_fase_dia_Plena_Noite, ctx_tipo_pista_Dupla, ctx_uso_solo_Não => desfecho_Fatal",1,4,0.25,transitoria,1.4956,0.1224,[2026]
"ctx_condicao_metereologica_Chuva, ctx_fim_de_semana_Não, ctx_tipo_pista_Simples => desfecho_Fatal",1,4,0.25,transitoria,1.4726,0.1205,[2026]
"ctx_causa_acidente_Ausência_de_reação_do_condutor, ctx_fase_dia_Plena_Noite => desfecho_Fatal",1,4,0.25,transitoria,1.4594,0.1194,[2026]
"ctx_condicao_metereologica_Chuva, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_Fatal",1,4,0.25,transitoria,1.4198,0.1162,[2026]
"ctx_fase_dia_Plena_Noite, ctx_tipo_pista_Dupla, ctx_tracado_via_Reta => desfecho_Fatal",1,4,0.25,transitoria,1.3823,0.1131,[2026]
"ctx_fim_de_semana_Não, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_Fatal",1,4,0.25,transitoria,1.3711,0.1122,[2026]
"ctx_tipo_pista_Simples, ctx_tracado_via_Reta => desfecho_Fatal",1,4,0.25,transitoria,1.3647,0.1055,[2023]
"ctx_fase_dia_Plena_Noite, ctx_tipo_pista_Dupla => desfecho_Fatal",1,4,0.25,transitoria,1.3506,0.1105,[2026]
"ctx_condicao_metereologica_Nublado, ctx_tipo_pista_Simples => desfecho_Fatal",1,4,0.25,transitoria,1.3446,0.104,[2025]
"ctx_causa_acidente_Velocidade_Incompatível, ctx_fim_de_semana_Não, ctx_uso_solo_Não => desfecho_Fatal",1,4,0.25,transitoria,1.327,0.1086,[2026]
"ctx_tipo_pista_Simples, ctx_tracado_via_Curva => desfecho_Fatal",1,4,0.25,transitoria,1.2973,0.1004,[2025]
