regra,n_anos_presente,n_anos_total,freq_relativa,status,lift_medio,confianca_media,anos
"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples => desfecho_AltaGravidade",3,4,0.75,estavel,2.3559,0.7585,"[2023, 2024, 2026]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples => desfecho_AltaGravidade",2,4,0.5,estavel,2.3508,0.7661,"[2023, 2025]"
"ctx_tipo_acidente_Colisão_frontal, ctx_tracado_via_Reta, ctx_uso_solo_Não => desfecho_AltaGravidade",3,4,0.75,estavel,2.347,0.7568,"[2023, 2025, 2026]"
"ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_uso_solo_Não => desfecho_AltaGravidade",4,4,1.0,estavel,2.33,0.7546,"[2023, 2024, 2025, 2026]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",4,4,1.0,estavel,2.3283,0.7541,"[2023, 2024, 2025, 2026]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,4,0.5,estavel,2.3279,0.7427,"[2023, 2026]"
"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",4,4,1.0,estavel,2.327,0.7536,"[2023, 2024, 2025, 2026]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_fase_dia_Plena_Noite => desfecho_AltaGravidade",4,4,1.0,estavel,2.322,0.7519,"[2023, 2024, 2025, 2026]"
"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade",3,4,0.75,estavel,2.3216,0.7488,"[2023, 2025, 2026]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_fim_de_semana_Sim => desfecho_AltaGravidade",4,4,1.0,estavel,2.321,0.7525,"[2023, 2024, 2025, 2026]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade",4,4,1.0,estavel,2.3104,0.7482,"[2023, 2024, 2025, 2026]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_fase_dia_Plena_Noite, ctx_tipo_pista_Simples => desfecho_AltaGravidade",2,4,0.5,estavel,2.3088,0.7415,"[2024, 2026]"
"ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Dupla, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,4,0.5,estavel,2.303,0.7507,"[2023, 2025]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples => desfecho_AltaGravidade",3,4,0.75,estavel,2.3028,0.7522,"[2023, 2024, 2025]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_fase_dia_Plena_Noite, ctx_uso_solo_Não => desfecho_AltaGravidade",2,4,0.5,estavel,2.291,0.7454,"[2023, 2024]"
"ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples, ctx_tracado_via_Reta => desfecho_AltaGravidade",3,4,0.75,estavel,2.2766,0.7345,"[2023, 2025, 2026]"
"ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Dupla => desfecho_AltaGravidade",3,4,0.75,estavel,2.268,0.731,"[2023, 2025, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade",4,4,1.0,estavel,2.2632,0.7328,"[2023, 2024, 2025, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",4,4,1.0,estavel,2.2615,0.7322,"[2023, 2024, 2025, 2026]"
"ctx_fim_de_semana_Não, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,4,0.5,estavel,2.2469,0.7228,"[2024, 2026]"
"ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_AltaGravidade",3,4,0.75,estavel,2.2416,0.7323,"[2023, 2024, 2025]"
"ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Simples => desfecho_AltaGravidade",3,4,0.75,estavel,2.2284,0.7279,"[2023, 2024, 2025]"
"ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não => desfecho_AltaGravidade",4,4,1.0,estavel,2.2217,0.7195,"[2023, 2024, 2025, 2026]"
"ctx_fim_de_semana_Não, ctx_tipo_acidente_Colisão_frontal, ctx_tracado_via_Curva => desfecho_AltaGravidade",2,4,0.5,estavel,2.2165,0.7211,"[2023, 2024]"
"ctx_tipo_acidente_Colisão_frontal, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,4,0.5,estavel,2.214,0.7217,"[2023, 2025]"
"ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,4,0.5,estavel,2.2073,0.7197,"[2023, 2025]"
"ctx_fim_de_semana_Não, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Dupla => desfecho_AltaGravidade",2,4,0.5,estavel,2.1962,0.722,"[2024, 2025]"
"ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples => desfecho_AltaGravidade",3,4,0.75,estavel,2.1736,0.7101,"[2023, 2024, 2025]"
ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade,4,4,1.0,estavel,2.1711,0.703,"[2023, 2024, 2025, 2026]"
ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade,4,4,1.0,estavel,2.1629,0.7004,"[2023, 2024, 2025, 2026]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_condicao_metereologica_Céu_Claro => desfecho_AltaGravidade",3,4,0.75,estavel,2.1444,0.6898,"[2023, 2024, 2026]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_fim_de_semana_Sim, ctx_tipo_pista_Simples => desfecho_AltaGravidade",2,4,0.5,estavel,2.1124,0.687,"[2023, 2024]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_uso_solo_Não => desfecho_AltaGravidade",4,4,1.0,estavel,2.0969,0.679,"[2023, 2024, 2025, 2026]"
ctx_causa_acidente_Transitar_na_contramão => desfecho_AltaGravidade,4,4,1.0,estavel,2.0444,0.6618,"[2023, 2024, 2025, 2026]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_tipo_pista_Simples => desfecho_AltaGravidade",2,4,0.5,estavel,1.9872,0.6534,"[2024, 2025]"
"ctx_causa_acidente_Ultrapassagem_Indevida, ctx_condicao_metereologica_Céu_Claro, ctx_tipo_pista_Simples => desfecho_AltaGravidade",2,4,0.5,estavel,1.9054,0.6193,"[2023, 2024]"
"ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos, ctx_fim_de_semana_Sim, ctx_uso_solo_Não => desfecho_AltaGravidade",3,4,0.75,estavel,1.8297,0.588,"[2023, 2024, 2026]"
"ctx_causa_acidente_Ultrapassagem_Indevida, ctx_fim_de_semana_Não => desfecho_AltaGravidade",2,4,0.5,estavel,1.8241,0.5828,"[2023, 2026]"
"ctx_causa_acidente_Ultrapassagem_Indevida, ctx_tipo_pista_Simples => desfecho_AltaGravidade",3,4,0.75,estavel,1.8042,0.5811,"[2023, 2024, 2026]"
"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_transversal, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,4,0.5,estavel,1.7587,0.561,"[2023, 2026]"
"ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos, ctx_fim_de_semana_Sim, ctx_tipo_pista_Simples => desfecho_AltaGravidade",2,4,0.5,estavel,1.7552,0.5608,"[2023, 2026]"
"ctx_fim_de_semana_Não, ctx_tipo_pista_Simples, ctx_tracado_via_Reta;Declive => desfecho_AltaGravidade",2,4,0.5,estavel,1.7164,0.5602,"[2023, 2025]"
ctx_causa_acidente_Ultrapassagem_Indevida => desfecho_AltaGravidade,3,4,0.75,estavel,1.7153,0.5524,"[2023, 2024, 2026]"
"ctx_causa_acidente_Velocidade_Incompatível, ctx_condicao_metereologica_Nublado, ctx_tipo_pista_Simples => desfecho_AltaGravidade",2,4,0.5,estavel,1.7009,0.5554,"[2023, 2025]"
"ctx_tipo_pista_Simples, ctx_tracado_via_Declive;Reta, ctx_uso_solo_Não => desfecho_AltaGravidade",2,4,0.5,estavel,1.6566,0.5326,"[2024, 2026]"
