regra,n_anos_presente,n_anos_total,freq_relativa,status,lift_medio,confianca_media,anos
"ctx_condicao_metereologica_Nublado, ctx_tipo_pista_Simples => desfecho_AltaGravidade",2,3,0.667,estavel,1.2003,0.4048,"[2024, 2025]"
ctx_fase_dia_Plena_Noite => desfecho_AltaGravidade,2,3,0.667,estavel,1.199,0.404,"[2023, 2025]"
"ctx_causa_acidente_Pedestre_andava_na_pista, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.5406,0.871,[2025]
"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.5003,0.8571,[2025]
"ctx_causa_acidente_Pedestre_andava_na_pista, ctx_tipo_pista_Dupla => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.4761,0.82,[2023]
"ctx_causa_acidente_Pedestre_andava_na_pista, ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.4709,0.8197,[2024]
"ctx_causa_acidente_Pedestre_cruzava_a_pista_fora_da_faixa, ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.4256,0.8033,[2023]
"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Dupla => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.4216,0.8302,[2025]
"ctx_condicao_metereologica_Céu_Claro, ctx_fim_de_semana_Sim, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.4157,0.8,[2023]
"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Simples => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.4077,0.8254,[2025]
"ctx_causa_acidente_Pedestre_cruzava_a_pista_fora_da_faixa, ctx_condicao_metereologica_Céu_Claro => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.3864,0.7903,[2023]
"ctx_causa_acidente_Transitar_na_contramão, ctx_condicao_metereologica_Nublado => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.3808,0.7885,[2023]
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tracado_via_Reta => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.3796,0.8158,[2025]
"ctx_causa_acidente_Pedestre_andava_na_pista, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tracado_via_Reta => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.3768,0.8148,[2025]
"ctx_fase_dia_Plena_Noite, ctx_fim_de_semana_Não, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.3751,0.7879,[2024]
"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.3736,0.7874,[2024]
"ctx_fim_de_semana_Não, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Dupla => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.3634,0.784,[2024]
"ctx_causa_acidente_Transitar_na_contramão, ctx_condicao_metereologica_Céu_Claro, ctx_fim_de_semana_Sim => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.3614,0.8095,[2025]
"ctx_causa_acidente_Transitar_na_contramão, ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.3416,0.7768,[2024]
"ctx_condicao_metereologica_Céu_Claro, ctx_fim_de_semana_Não, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.3333,0.774,[2024]
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_uso_solo_Sim => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.3276,0.7708,[2023]
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Simples => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.3111,0.7667,[2024]
"ctx_fim_de_semana_Não, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.3068,0.7652,[2024]
"ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Dupla, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.3052,0.7647,[2024]
"ctx_causa_acidente_Pedestre_cruzava_a_pista_fora_da_faixa, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_uso_solo_Sim => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.3031,0.7627,[2023]
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Dupla => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.2815,0.7556,[2023]
"ctx_fim_de_semana_Não, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tracado_via_Reta => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.2759,0.755,[2024]
"ctx_causa_acidente_Transitar_na_contramão, ctx_fase_dia_Plena_Noite, ctx_fim_de_semana_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.2741,0.7544,[2024]
"ctx_causa_acidente_Transitar_na_contramão, ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Plena_Noite => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.2609,0.75,[2024]
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_uso_solo_Sim => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.25,0.7464,[2024]
"ctx_condicao_metereologica_Nublado, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.2364,0.7667,[2025]
"ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tracado_via_Reta, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.2355,0.7416,[2024]
"ctx_fim_de_semana_Não, ctx_tipo_acidente_Colisão_frontal, ctx_tracado_via_Curva => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.2353,0.7403,[2023]
"ctx_fim_de_semana_Não, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.2321,0.7405,[2024]
"ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Dupla, ctx_uso_solo_Sim => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.228,0.7379,[2023]
"ctx_causa_acidente_Pedestre_cruzava_a_pista_fora_da_faixa, ctx_uso_solo_Sim => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.2276,0.7377,[2023]
"ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Simples => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.2098,0.7576,[2025]
"ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tracado_via_Reta, ctx_uso_solo_Sim => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.2094,0.7317,[2023]
"ctx_causa_acidente_Pedestre_cruzava_a_pista_fora_da_faixa, ctx_fim_de_semana_Não, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.2083,0.7313,[2023]
"ctx_causa_acidente_Ultrapassagem_Indevida, ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.2005,0.7544,[2025]
"ctx_fim_de_semana_Não, ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.1961,0.7273,[2023]
"ctx_causa_acidente_Transitar_na_contramão, ctx_tracado_via_Reta, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.1961,0.7273,[2023]
"ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Simples, ctx_tracado_via_Reta => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.184,0.7245,[2024]
"ctx_causa_acidente_Pedestre_cruzava_a_pista_fora_da_faixa, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.167,0.7176,[2023]
"ctx_causa_acidente_Transitar_na_contramão, ctx_tipo_pista_Simples, ctx_tracado_via_Curva => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.1495,0.7119,[2023]
"ctx_condicao_metereologica_Céu_Claro, ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.1482,0.7364,[2025]
