antecedents_str,consequents_str,support,confidence,lift,leverage,conviction,n_antecedents,n_consequents
classificacao_acidente_Com Vítimas Feridas & dia_semana_domingo & fase_dia_Pleno dia,fim_de_semana_Sim & gravidade_binaria_Não Fatal,0.0780569514237855,1.0,3.403648802736602,0.05512363604735,inf,3,2
classificacao_acidente_Com Vítimas Feridas & dia_semana_domingo & uso_solo_Não,fim_de_semana_Sim & gravidade_binaria_Não Fatal,0.0991624790619765,1.0,3.403648802736602,0.0700283101717409,inf,3,2
classificacao_acidente_Com Vítimas Feridas & condicao_metereologica_Céu Claro & dia_semana_sábado,fim_de_semana_Sim & gravidade_binaria_Não Fatal,0.0586264656616415,1.0,3.403648802736602,0.0414018725677522,inf,3,2
classificacao_acidente_Com Vítimas Feridas & dia_semana_domingo,fim_de_semana_Sim & gravidade_binaria_Não Fatal,0.1289782244556113,1.0,3.403648802736602,0.0910841196490548,inf,2,2
classificacao_acidente_Com Vítimas Feridas & dia_semana_sábado & uso_solo_Não,fim_de_semana_Sim & gravidade_binaria_Não Fatal,0.0797319932998325,1.0,3.403648802736602,0.056306546692143,inf,3,2
classificacao_acidente_Com Vítimas Feridas & dia_semana_sábado,fim_de_semana_Sim & gravidade_binaria_Não Fatal,0.1155778894472361,1.0,3.403648802736602,0.0816208344907115,inf,2,2
classificacao_acidente_Com Vítimas Feridas & dia_semana_domingo & tipo_pista_Simples,fim_de_semana_Sim & gravidade_binaria_Não Fatal,0.067001675041876,1.0,3.403648802736602,0.0473164257917168,inf,3,2
dia_semana_sábado & gravidade_binaria_Não Fatal,classificacao_acidente_Com Vítimas Feridas & fim_de_semana_Sim,0.1155778894472361,0.8313253012048192,3.39932332067998,0.0815776257052992,4.478703039004544,2,2
dia_semana_domingo & uso_solo_Não,fase_dia_Pleno dia & fim_de_semana_Sim,0.0760469011725293,0.6102150537634409,3.3983058497833416,0.0536690150922114,2.1048414486224227,2,2
condicao_metereologica_Céu Claro & dia_semana_sábado & gravidade_binaria_Não Fatal,classificacao_acidente_Com Vítimas Feridas & fim_de_semana_Sim,0.0586264656616415,0.8293838862559243,3.3913847951697726,0.0413395845783916,4.42774055462498,3,2
fase_dia_Pleno dia & fim_de_semana_Sim & uso_solo_Não,dia_semana_domingo & gravidade_binaria_Não Fatal,0.0716917922948073,0.5232273838630805,3.3805925126218512,0.0504849204144676,1.7728076278830045,3,2
fase_dia_Pleno dia & fim_de_semana_Sim & gravidade_binaria_Não Fatal & uso_solo_Não,dia_semana_domingo,0.0716917922948073,0.5587467362924281,3.3762328093783363,0.0504575361452712,1.891217428364703,4,1
classificacao_acidente_Com Vítimas Feridas & dia_semana_domingo & gravidade_binaria_Não Fatal,fase_dia_Pleno dia & fim_de_semana_Sim,0.0780569514237855,0.6051948051948052,3.370347935646443,0.0548970424428114,2.078076787446002,3,2
classificacao_acidente_Com Vítimas Feridas & dia_semana_domingo,fase_dia_Pleno dia & fim_de_semana_Sim,0.0780569514237855,0.6051948051948052,3.370347935646443,0.0548970424428114,2.078076787446002,2,2
dia_semana_sábado & gravidade_binaria_Não Fatal & uso_solo_Não,classificacao_acidente_Com Vítimas Feridas & fim_de_semana_Sim,0.0797319932998325,0.8235294117647058,3.367445608380338,0.0560547012000258,4.280848687883863,3,2
faixa_horaria_Tarde & fase_dia_Pleno dia & fim_de_semana_Sim,dia_semana_domingo,0.057286432160804,0.5551948051948052,3.35477022977023,0.0402103201658768,1.876115370037536,3,1
fase_dia_Pleno dia & fim_de_semana_Sim & uso_solo_Não,dia_semana_domingo,0.0760469011725293,0.5550122249388753,3.353666986725795,0.0533711550493954,1.8753455924310196,3,1
dia_semana_domingo,classificacao_acidente_Com Vítimas Feridas & fim_de_semana_Sim & gravidade_binaria_Não Fatal & uso_solo_Não,0.0991624790619765,0.5991902834008098,3.349406359459582,0.0695564926811612,2.0486168214811435,1,4
classificacao_acidente_Com Vítimas Feridas & fim_de_semana_Sim & uso_solo_Não,dia_semana_domingo,0.0991624790619765,0.5543071161048689,3.349406359459582,0.0695564926811612,1.8723787002238084,3,1
classificacao_acidente_Com Vítimas Feridas & fim_de_semana_Sim & gravidade_binaria_Não Fatal & uso_solo_Não,dia_semana_domingo,0.0991624790619765,0.5543071161048689,3.349406359459582,0.0695564926811612,1.8723787002238084,4,1
dia_semana_domingo,classificacao_acidente_Com Vítimas Feridas & fim_de_semana_Sim & uso_solo_Não,0.0991624790619765,0.5991902834008098,3.349406359459582,0.0695564926811612,2.0486168214811435,1,3
faixa_horaria_Tarde & fim_de_semana_Sim & gravidade_binaria_Não Fatal,dia_semana_domingo,0.0552763819095477,0.5518394648829431,3.334495551974869,0.0386992472131736,1.8620690517262928,3,1
classificacao_acidente_Com Vítimas Feridas & fase_dia_Plena Noite & tipo_pista_Dupla,faixa_horaria_Noite & fim_de_semana_Não & gravidade_binaria_Não Fatal,0.0592964824120603,0.5496894409937888,3.3282413415141168,0.041480321765163,1.853922485993184,3,3
classificacao_acidente_Com Vítimas Feridas & dia_semana_domingo,fim_de_semana_Sim & uso_solo_Não,0.0991624790619765,0.7688311688311689,3.3212171330839926,0.0693052083421013,3.324449965181714,2,2
classificacao_acidente_Com Vítimas Feridas & dia_semana_domingo & gravidade_binaria_Não Fatal,fim_de_semana_Sim & uso_solo_Não,0.0991624790619765,0.7688311688311689,3.3212171330839926,0.0693052083421013,3.324449965181714,3,2
classificacao_acidente_Com Vítimas Feridas & faixa_horaria_Noite & tipo_pista_Dupla,fase_dia_Plena Noite & fim_de_semana_Não & gravidade_binaria_Não Fatal,0.0592964824120603,0.6459854014598541,3.3188750832317804,0.0414300424512287,2.2749348115146177,3,3
faixa_horaria_Noite & gravidade_binaria_Não Fatal & tipo_pista_Simples,classificacao_acidente_Com Vítimas Feridas & fase_dia_Plena Noite & uso_solo_Não,0.0633165829145728,0.5415472779369627,3.3125381652496597,0.0442023630155243,1.824650335008375,3,3
fim_de_semana_Sim & gravidade_binaria_Não Fatal & uso_solo_Não,dia_semana_domingo,0.1162479061976549,0.5455974842767296,3.296778320983883,0.0809868437665715,1.83649041053016,3,1
dia_semana_domingo,fim_de_semana_Sim & gravidade_binaria_Não Fatal & uso_solo_Não,0.1162479061976549,0.702429149797571,3.296778320983883,0.0809868437665715,2.644528766280383,1,3
fim_de_semana_Sim & gravidade_binaria_Não Fatal & tipo_pista_Simples,dia_semana_domingo,0.0787269681742043,0.5439814814814815,3.2870136077372925,0.0547760578436571,1.829982399306176,3,1
classificacao_acidente_Com Vítimas Feridas & fase_dia_Plena Noite & tracado_via_Reta,faixa_horaria_Noite & gravidade_binaria_Não Fatal,0.088107202680067,0.8092307692307692,3.282002508361204,0.0612616404187324,3.949451558869616,3,2
classificacao_acidente_Com Vítimas Feridas & fim_de_semana_Sim & tipo_pista_Simples,dia_semana_domingo,0.067001675041876,0.5405405405405405,3.2662216872743186,0.0464881638791388,1.8162774657601728,3,1
classificacao_acidente_Com Vítimas Feridas & fim_de_semana_Sim & gravidade_binaria_Não Fatal & tipo_pista_Simples,dia_semana_domingo,0.067001675041876,0.5405405405405405,3.2662216872743186,0.0464881638791388,1.8162774657601728,4,1
dia_semana_domingo & uso_solo_Não,classificacao_acidente_Com Vítimas Feridas & fim_de_semana_Sim & gravidade_binaria_Não Fatal,0.0991624790619765,0.7956989247311828,3.253645603181617,0.0686851342137824,3.697699021422903,2,3
dia_semana_domingo & uso_solo_Não,classificacao_acidente_Com Vítimas Feridas & fim_de_semana_Sim,0.0991624790619765,0.7956989247311828,3.253645603181617,0.0686851342137824,3.697699021422903,2,2
dia_semana_domingo,fim_de_semana_Sim & uso_solo_Não,0.1246231155778894,0.7530364372469637,3.2529866355747994,0.0863127474334262,3.111832385973585,1,2
fim_de_semana_Sim & uso_solo_Não,dia_semana_domingo,0.1246231155778894,0.5383502170767004,3.252986635574799,0.0863127474334262,1.8076600347610567,2,1
dia_semana_domingo & tipo_pista_Simples,classificacao_acidente_Com Vítimas Feridas & fim_de_semana_Sim & gravidade_binaria_Não Fatal,0.067001675041876,0.7936507936507935,3.2452707110241352,0.0463557317576155,3.6609972941631206,2,3
dia_semana_domingo & tipo_pista_Simples,classificacao_acidente_Com Vítimas Feridas & fim_de_semana_Sim,0.067001675041876,0.7936507936507935,3.2452707110241352,0.0463557317576155,3.6609972941631206,2,2
dia_semana_domingo & gravidade_binaria_Não Fatal,fim_de_semana_Sim & uso_solo_Não,0.1162479061976549,0.751082251082251,3.2445448907098684,0.0804191813338047,3.087402228533973,2,2
classificacao_acidente_Com Vítimas Feridas & dia_semana_sábado,fim_de_semana_Sim & gravidade_binaria_Não Fatal & uso_solo_Não,0.0797319932998325,0.6898550724637681,3.237763193874761,0.0551063525331851,2.5373127318837176,2,3
dia_semana_domingo & faixa_horaria_Tarde & fase_dia_Pleno dia,fim_de_semana_Sim & gravidade_binaria_Não Fatal,0.0542713567839195,0.9473684210526316,3.2245093920662544,0.0374404686750334,13.417755443886085,3,2
dia_semana_domingo & fase_dia_Pleno dia,fim_de_semana_Sim & gravidade_binaria_Não Fatal,0.0884422110552763,0.946236559139785,3.2206569316217317,0.0609812883513042,13.13527638190956,2,2
fim_de_semana_Sim & tipo_pista_Simples,dia_semana_domingo,0.0844221105527638,0.53276955602537,3.219265434687712,0.058198081417697,1.7860691087412934,2,1
dia_semana_domingo & faixa_horaria_Tarde,fim_de_semana_Sim & gravidade_binaria_Não Fatal,0.0552763819095477,0.9428571428571428,3.209154585437368,0.0380517888156584,12.358458961474032,2,2
dia_semana_domingo & fase_dia_Pleno dia & uso_solo_Não,fim_de_semana_Sim & gravidade_binaria_Não Fatal,0.0716917922948073,0.9427312775330396,3.208726184077677,0.0493490343958766,12.331297513207035,3,2
dia_semana_sábado & gravidade_binaria_Não Fatal,classificacao_acidente_Com Vítimas Feridas & fim_de_semana_Sim & uso_solo_Não,0.0797319932998325,0.5734939759036144,3.205766887775822,0.0548605674940868,1.925190926383329,2,3
classificacao_acidente_Com Vítimas Feridas & fase_dia_Pleno dia & fim_de_semana_Sim,dia_semana_domingo,0.0780569514237855,0.5295454545454544,3.199783768862716,0.0536625057167467,1.7738288867849712,3,1
classificacao_acidente_Com Vítimas Feridas & fase_dia_Pleno dia & fim_de_semana_Sim & gravidade_binaria_Não Fatal,dia_semana_domingo,0.0780569514237855,0.5295454545454544,3.199783768862716,0.0536625057167467,1.7738288867849712,4,1
dia_semana_domingo & tipo_pista_Dupla,fim_de_semana_Sim & gravidade_binaria_Não Fatal,0.069681742043551,0.936936936936937,3.189004283645105,0.0478311153758743,11.198277099784653,2,2
dia_semana_domingo,classificacao_acidente_Com Vítimas Feridas & fim_de_semana_Sim,0.1289782244556113,0.7793522267206479,3.18680328323443,0.0885056213507515,3.4237548599265453,1,2
dia_semana_domingo,classificacao_acidente_Com Vítimas Feridas & fim_de_semana_Sim & gravidade_binaria_Não Fatal,0.1289782244556113,0.7793522267206479,3.18680328323443,0.0885056213507515,3.4237548599265453,1,3
dia_semana_domingo,fim_de_semana_Sim & gravidade_binaria_Não Fatal,0.1547738693467336,0.9352226720647776,3.183169528065406,0.1061513036988403,10.9019262981575,1,2
dia_semana_domingo & gravidade_binaria_Não Fatal,fase_dia_Pleno dia & fim_de_semana_Sim,0.0884422110552763,0.5714285714285714,3.1823027718550105,0.0606503202781074,1.9143495254048015,2,2
faixa_horaria_Noite & gravidade_binaria_Não Fatal & tipo_pista_Simples,classificacao_acidente_Com Vítimas Feridas & fase_dia_Plena Noite,0.0897822445561139,0.7679083094555874,3.179204304750248,0.0615417680249376,3.267928117956036,3,2
dia_semana_sábado & fase_dia_Pleno dia,fim_de_semana_Sim & gravidade_binaria_Não Fatal,0.0804020100502512,0.933852140077821,3.178504718508889,0.0551064647637966,10.676046901172532,2,2
dia_semana_domingo & uso_solo_Não,fim_de_semana_Sim & gravidade_binaria_Não Fatal,0.1162479061976549,0.9327956989247312,3.174908963843013,0.0796333425923587,10.50822110552763,2,2
dia_semana_domingo & tipo_pista_Simples,fim_de_semana_Sim & gravidade_binaria_Não Fatal,0.0787269681742043,0.9325396825396826,3.174037573980561,0.0539235541190037,10.468341708542717,2,2
dia_semana_sábado & tipo_pista_Dupla,fim_de_semana_Sim & gravidade_binaria_Não Fatal,0.0673366834170854,0.9305555555555556,3.16728430254656,0.0460766142269134,10.169246231155782,2,2
dia_semana_domingo & tipo_pista_Simples & uso_solo_Não,fim_de_semana_Sim & gravidade_binaria_Não Fatal,0.064321608040201,0.927536231884058,3.1570075851469936,0.0439473750662862,9.745527638190971,3,2
