conjunto,n_regras,n_ocorrencias_cobertas,pct_base_coberta,n_alta_cobertas,pct_alta_coberta,precisao_alta_entre_cobertos
top-5,5,452,0.018585526315789472,360,0.04413928396272683,0.7964601769911505
top-10,10,621,0.025534539473684212,487,0.0597106424717999,0.784219001610306
top-20,20,1359,0.05587993421052632,1023,0.1254291319274154,0.7527593818984547
todas,154,16530,0.6796875,6400,0.784698381559588,0.3871748336358137
